结构	用途选车	城市	国别	品牌	口碑参数	车系	论坛用词	资讯关键词	动作指令	保养项目	保养次数	问时间	问价格	生产厂商	指定拆词	外观描述	动力描述	配置描述	价格描述	排量描述	车身配置	车身参数	驱动电机数	发动机型号	进气形式	配气机构	发动机特有技术	供油方式	变速箱类型	驱动方式	助力类型	车体结构	驻车制动类型	备胎规格	四驱形式	中央差速器结构	电池类型	后排车门开启方式	电机布局	变速箱和简称	变速箱	简称	能源类型	缸盖材料和缸体材料	缸盖材料	缸体材料	前悬架类型和后悬架类型	前悬架类型	后悬架类型	前制动器类型和后制动器类型	前制动器类型	后制动器类型	级别	版型	颜色	环保标准	厂商	询价用词	热门	省	侧滑门	车窗一键升降	多天窗	方向盘调节	后排座椅放倒方式	近光灯	近光灯和远光灯	可变悬架	外接音源接口	扬声器品牌	远光灯	座椅材质	颜色类型	CD/DVD	可加热/制冷杯架	前桥限滑差速器/差速锁和后桥限滑差速器/差速锁	前桥限滑差速器/差速锁	后桥限滑差速器/差速锁	加速度描述	发动机	问公里
						马自达C叉杠7(进口)																																																																											
						马自达CX杠七(进口)																																																																											
						马自达C叉杠七(进口)																																																																											
						马自达C叉-7(进口)																																																																											
						马自达CX杠7(进口)																																																																											
						马自达CX-七(进口)																																																																											
						马自达C叉-七(进口)																																																																											
						APOLLON																																																																											
						S5 TURBO																																																																											
						S五TURBO																																																																											
						WEYVV6																																																																											
						WEYVV六																																																																											
						Panda																																																																											
						切诺基(进口)																																																																											
						COOPER																																																																											
						MINICOOPER																																																																											
						雷诺SYMBIOZ																																																																											
						Duster Detour																																																																											
						ALFA 159																																																																											
						ALFA一五九																																																																											
						Provo																																																																											
						California T																																																																											
						VISION-E																																																																											
						VISION杠E																																																																											
						GRIFFITH																																																																											
						Tiguan																																																																											
						众泰B40																																																																											
						众泰B四零																																																																											
						Tornante																																																																											
						瑞虎5X																																																																											
						瑞虎五叉																																																																											
						瑞虎5叉																																																																											
						瑞虎五X																																																																											
						御风S16																																																																											
						御风S一六																																																																											
						2020VISIONGRANTURISMO																																																																											
						二零二零VISIONGRANTURISMO																																																																											
						COASTLINE																																																																											
						开沃D08																																																																											
						开沃D零八																																																																											
						标致508(进口)																																																																											
						标致五零八(进口)																																																																											
						Scion xD																																																																											
						SCION叉D																																																																											
						Charger																																																																											
						丰田Hi-CT																																																																											
						丰田HI杠CT																																																																											
						smart forfour																																																																											
						ALPINAB3																																																																											
						ALPINAB三																																																																											
						E-TRONQUATTRO																																																																											
						E杠TRONQUATTRO																																																																											
						AT96TREV																																																																											
						AT九六TREV																																																																											
						伊兰特(海外)																																																																											
						Kuga																																																																											
						雷克萨斯LF-SA																																																																											
						雷克萨斯LF杠SA																																																																											
						马自达MX-5																																																																											
						马自达M叉-5																																																																											
						马自达MX-五																																																																											
						马自达M叉杠5																																																																											
						马自达M叉杠五																																																																											
						马自达MX杠5																																																																											
						马自达MX杠五																																																																											
						马自达M叉-五																																																																											
						E美																																																																											
						EH系列																																																																											
						CONCEPTONE																																																																											
						标致4008(进口)																																																																											
						标致四零零八(进口)																																																																											
						铃木iV-4																																																																											
						铃木IV杠4																																																																											
						铃木IV-四																																																																											
						铃木IV杠四																																																																											
						EMOTION																																																																											
						卡尔森 C25																																																																											
						卡尔森C二五																																																																											
						Kopen																																																																											
						Twin-Run																																																																											
						TWIN杠RUN																																																																											
						皇冠(进口)																																																																											
						Carrera GT																																																																											
						景逸S50EV																																																																											
						东风景逸S五零EV																																																																											
						东风景逸S50EV																																																																											
						景逸S五零EV																																																																											
						METRISMS500																																																																											
						METRISMS五零零																																																																											
						QUANTE-SPORTLIMOUSINE																																																																											
						QUANTE杠SPORTLIMOUSINE																																																																											
						卡威EV7																																																																											
						卡威EV七																																																																											
						Note																																																																											
						依维柯OUBA																																																																											
						01概念车																																																																											
						零一概念车																																																																											
						QUANTF																																																																											
						大捷龙(进口)																																																																											
						H-TRONQUATTRO																																																																											
						H杠TRONQUATTRO																																																																											
						Nuvis																																																																											
						野马EC30																																																																											
						野马EC三零																																																																											
						GENESISGV80																																																																											
						GENESISGV八零																																																																											
						CEDRIC																																																																											
						开沃D10																																																																											
						开沃D一零																																																																											
						天逸C5AIRCROSS																																																																											
						天逸C五AIRCROSS																																																																											
						斯达泰克-揽胜																																																																											
						斯达泰克杠揽胜																																																																											
						Massif																																																																											
						Evos																																																																											
						CROSSLANDX																																																																											
						CROSSLAND叉																																																																											
						New Compact																																																																											
						维特拉(海外)																																																																											
						KITE5																																																																											
						KITE五																																																																											
						劳恩斯-酷派																																																																											
						劳恩斯杠酷派																																																																											
						汉兰达(进口)																																																																											
						3.0CSLHOMMAGE																																																																											
						3点0CSLHOMMAGE																																																																											
						三.零CSLHOMMAGE																																																																											
						三点零CSLHOMMAGE																																																																											
						Exige																																																																											
						E叉IGE																																																																											
						ARMADA																																																																											
						瑞纳(海外)																																																																											
						马自达CX-3																																																																											
						马自达C叉-3																																																																											
						马自达CX杠三																																																																											
						马自达C叉杠3																																																																											
						马自达C叉-三																																																																											
						马自达CX杠3																																																																											
						马自达C叉杠三																																																																											
						马自达CX-三																																																																											
						XchangE																																																																											
						叉CHANGE																																																																											
						EC系列																																																																											
						凯迪拉克CTS(进口)																																																																											
						君马S70																																																																											
						君马S七零																																																																											
						奥迪A6(进口)																																																																											
						奥迪A六(进口)																																																																											
						雷克萨斯LF-CC																																																																											
						雷克萨斯LF杠CC																																																																											
						RALLYFIGHTER																																																																											
						雷克萨斯RC F																																																																											
						DeZir																																																																											
						ALASKAN																																																																											
						CAYENNE新能源																																																																											
						YUKON																																																																											
						CLARITY																																																																											
						本田XR-V																																																																											
						本田XR杠V																																																																											
						本田叉R杠V																																																																											
						本田叉R-V																																																																											
						Veneno																																																																											
						VULCAN																																																																											
						知豆D3																																																																											
						知豆D三																																																																											
						Polo(海外)																																																																											
						CRONOS																																																																											
						ZEROUNO																																																																											
						Noble M12																																																																											
						NOBLEM一二																																																																											
						Scion FR-S																																																																											
						SCIONFR杠S																																																																											
						奔驰GLCAMG																																																																											
						WEYVV7																																																																											
						VV七																																																																											
						VV7																																																																											
						WEYVV七																																																																											
						游侠X																																																																											
						游侠叉																																																																											
						AC Schnitzer Eagle																																																																											
						Tourneo Custom																																																																											
						Soul																																																																											
						GO-CROSS																																																																											
						GO杠CROSS																																																																											
						DZIRE																																																																											
						北汽幻速S5-EV																																																																											
						北汽幻速S5杠EV																																																																											
						北汽幻速S五-EV																																																																											
						北汽幻速S五杠EV																																																																											
						E-TENSE																																																																											
						E杠TENSE																																																																											
						奔驰GLA(进口)																																																																											
						Terra																																																																											
						VENOMF5																																																																											
						VENOMF五																																																																											
						奥迪Q5(进口)																																																																											
						奥迪Q五(进口)																																																																											
						奥迪TT RS																																																																											
						VISIONVAN																																																																											
						Macan																																																																											
						Copen																																																																											
						摩根AERO8																																																																											
						摩根AERO八																																																																											
						巴博斯 GL级																																																																											
						ALPINEVISION																																																																											
						ALPINEVISIONGRANTURISMO																																																																											
						雷克萨斯LF-FC																																																																											
						雷克萨斯LF杠FC																																																																											
						巴博斯 SLK级																																																																											
						DS4S																																																																											
						DS四S																																																																											
						Jeep J12																																																																											
						JEEPJ一二																																																																											
						VISION-R																																																																											
						VISION杠R																																																																											
						现代ix35(海外)																																																																											
						现代I叉三五(海外)																																																																											
						现代IX三五(海外)																																																																											
						现代I叉35(海外)																																																																											
						REVOLTe																																																																											
						QXSPORTINSPIRATION																																																																											
						Q叉SPORTINSPIRATION																																																																											
						铃木IM-4																																																																											
						铃木IM杠四																																																																											
						铃木IM-四																																																																											
						铃木IM杠4																																																																											
						AC Schnitzer X3																																																																											
						ACSCHNITZERX三																																																																											
						ACSCHNITZER叉三																																																																											
						ACSCHNITZER叉3																																																																											
						柯迪亚克(海外)																																																																											
						佳宝V70 II代																																																																											
						佳宝V七零II代																																																																											
						摩根Plus 8																																																																											
						摩根PLUS八																																																																											
						MINI JCW CLUBMAN																																																																											
						ASLAN																																																																											
						Mono																																																																											
						Pathfinder																																																																											
						Avalon																																																																											
						ALPINAXD3																																																																											
						ALPINA叉D3																																																																											
						ALPINA叉D三																																																																											
						ALPINAXD三																																																																											
						丰田C-HR																																																																											
						丰田C杠HR																																																																											
						卡罗拉(海外)																																																																											
						FF91																																																																											
						FF九一																																																																											
						北汽威旺M60																																																																											
						北汽威旺M六零																																																																											
						圣达菲(进口)																																																																											
						INSTINCT																																																																											
						CROWNVICTORIA																																																																											
						P-NUT																																																																											
						P杠NUT																																																																											
						双龙LIV-1																																																																											
						双龙LIV杠1																																																																											
						双龙LIV杠一																																																																											
						双龙LIV-一																																																																											
						北汽幻速S7																																																																											
						北汽幻速S七																																																																											
						Routan																																																																											
						哈弗HB-02																																																																											
						哈弗HB杠02																																																																											
						哈弗HB杠零二																																																																											
						哈弗HB-零二																																																																											
						ON-DO																																																																											
						ON杠DO																																																																											
						BUDD-E																																																																											
						BUDD杠E																																																																											
						Resonance																																																																											
						COMMODORE																																																																											
						FINE-COMFORTRIDE																																																																											
						FINE杠COMFORTRIDE																																																																											
						现代i30(海外)																																																																											
						现代I三零(海外)																																																																											
						昂科拉(海外)																																																																											
						锋驭(海外)																																																																											
						马自达CX-5																																																																											
						马自达CX杠五																																																																											
						C叉杠五																																																																											
						C叉-5																																																																											
						马自达C叉杠五																																																																											
						C叉-五																																																																											
						CX杠5																																																																											
						CX-五																																																																											
						C叉杠5																																																																											
						马自达CX-五																																																																											
						马自达C叉-5																																																																											
						马自达CX杠5																																																																											
						CX-5																																																																											
						马自达C叉-五																																																																											
						马自达C叉杠5																																																																											
						CX杠五																																																																											
						威途X35																																																																											
						威途X三五																																																																											
						威途叉三五																																																																											
						威途叉35																																																																											
						金杯S70																																																																											
						金杯S七零																																																																											
						Roadster																																																																											
						奥迪A4(进口)																																																																											
						奥迪A四(进口)																																																																											
						奥迪A4L																																																																											
						奥迪A四L																																																																											
						A4L																																																																											
						A四L																																																																											
						Pivo 3																																																																											
						PIVO三																																																																											
						巴博斯 M级																																																																											
						Urban Luxury																																																																											
						URBANLU叉URY																																																																											
						TORO																																																																											
						KUV100																																																																											
						KUV一零零																																																																											
						丰田FT-AC																																																																											
						丰田FT杠AC																																																																											
						IVECOVISION																																																																											
						DS 6																																																																											
						DS六																																																																											
						Kiyora																																																																											
						MINI CLUBMAN																																																																											
						福特F-250																																																																											
						福特F杠二五零																																																																											
						福特F杠250																																																																											
						福特F-二五零																																																																											
						CABRIO-COUPE																																																																											
						CABRIO杠COUPE																																																																											
						FFZERO1																																																																											
						FFZERO一																																																																											
						Stratos																																																																											
						本田BR-V																																																																											
						本田BR杠V																																																																											
						Universe																																																																											
						Pajun																																																																											
						CRETA																																																																											
						ABTS1																																																																											
						ABTS一																																																																											
						POLESTAR1																																																																											
						POLESTAR一																																																																											
						雪铁龙C3-XR																																																																											
						雪铁龙C3杠XR																																																																											
						雪铁龙C3-叉R																																																																											
						雪铁龙C3杠叉R																																																																											
						雪铁龙C三杠XR																																																																											
						雪铁龙C三-XR																																																																											
						雪铁龙C三杠叉R																																																																											
						雪铁龙C三-叉R																																																																											
						CROSS SPORT																																																																											
						普拉多(进口)																																																																											
						Passat																																																																											
						CHIRON																																																																											
						TRISTAR																																																																											
						Harrier																																																																											
						Lorinser C级																																																																											
						Altima																																																																											
						Estate																																																																											
						本田WR-V																																																																											
						本田WR杠V																																																																											
						新胜达(进口)																																																																											
						AVENIR																																																																											
						DS 3																																																																											
						DS三																																																																											
						Scion xB																																																																											
						SCION叉B																																																																											
						奔腾B30EV																																																																											
						奔腾B三零EV																																																																											
						LaFerrari																																																																											
						Citigo																																																																											
						MINI ROCKETMAN																																																																											
						凯翼C3REV																																																																											
						凯翼C三REV																																																																											
						奔驰GLA AMG																																																																											
						MODEL3																																																																											
						MODEL三																																																																											
						AGILEAUTOMOTIVESCX																																																																											
						AGILEAUTOMOTIVESC叉																																																																											
						图雅诺EV																																																																											
						Saab 9-4X																																																																											
						SAAB九-四叉																																																																											
						SAAB9杠4X																																																																											
						SAAB九杠四叉																																																																											
						SAAB九杠四X																																																																											
						SAAB9杠4叉																																																																											
						SAAB9-4叉																																																																											
						SAAB九-四X																																																																											
						ENCINO																																																																											
						远景S1																																																																											
						远景S一																																																																											
						CELESTA																																																																											
						Saab 92																																																																											
						SAAB九二																																																																											
						Giulietta																																																																											
						蒙迪欧-致胜																																																																											
						蒙迪欧杠致胜																																																																											
						C3毕加索																																																																											
						C三毕加索																																																																											
						C4毕加索																																																																											
						C四毕加索																																																																											
						标致307(进口)																																																																											
						标致三零七(进口)																																																																											
						Tacoma																																																																											
						Gran Lusso																																																																											
						晶锐(海外)																																																																											
						Clio																																																																											
						Saab 9000																																																																											
						SAAB九零零零																																																																											
						福特F-450																																																																											
						福特F杠四五零																																																																											
						福特F杠450																																																																											
						福特F-四五零																																																																											
						DURANGOSRT																																																																											
						VELITE5																																																																											
						VELITE五																																																																											
						Espace																																																																											
						卡尔森 CLS级																																																																											
						MINIELECTRIC																																																																											
						Formula																																																																											
						五十铃MU-X																																																																											
						五十铃MU杠X																																																																											
						五十铃MU-叉																																																																											
						五十铃MU杠叉																																																																											
						ABT A4																																																																											
						ABTA四																																																																											
						CrossBlue																																																																											
						三菱GR-HEV																																																																											
						三菱GR杠HEV																																																																											
						XRAY																																																																											
						叉RAY																																																																											
						VIVA																																																																											
						雷克萨斯ISF																																																																											
						5 by Peugeot																																																																											
						五BYPEUGEOT																																																																											
						丰田FT-4X																																																																											
						丰田FT杠四叉																																																																											
						丰田FT-四叉																																																																											
						丰田FT-4叉																																																																											
						丰田FT杠四X																																																																											
						丰田FT杠4X																																																																											
						丰田FT-四X																																																																											
						丰田FT杠4叉																																																																											
						Huracan																																																																											
						Frontier																																																																											
						Dacia Logan																																																																											
						PROTOTYPE9																																																																											
						PROTOTYPE九																																																																											
						凯迪拉克SLS(海外)																																																																											
						Zenos E10																																																																											
						ZENOSE一零																																																																											
						MILLENIA																																																																											
						乌尼莫克U5000SUV																																																																											
						乌尼莫克U五零零零SUV																																																																											
						N BOX																																																																											
						NBO叉																																																																											
						Nexon																																																																											
						NE叉ON																																																																											
						奥迪A3(进口)																																																																											
						奥迪A三(进口)																																																																											
						奥迪Q3(进口)																																																																											
						奥迪Q三(进口)																																																																											
						帕杰罗(进口)																																																																											
						吉利EC6-RV																																																																											
						吉利EC六-RV																																																																											
						吉利EC6杠RV																																																																											
						吉利EC六杠RV																																																																											
						奥迪RS 6																																																																											
						奥迪RS六																																																																											
						ACSCHNITZERM4																																																																											
						ACSCHNITZERM四																																																																											
						N ONE																																																																											
						MissionL																																																																											
						Boxster																																																																											
						BO叉STER																																																																											
						泰卡特 T9																																																																											
						泰卡特T九																																																																											
						CONCEPT40.1																																																																											
						CONCEPT40点1																																																																											
						CONCEPT四零点一																																																																											
